,R,Name,Club,Pos,BaseSalary,Compensation,Apps,SubApps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating
143,46,Dax McCarty,CHI,M,400000.0,500000.0,28,0,2465,0,4,4,0,0.5,86.2,1.4,0,7.04
144,276,Thomas McNamara,NYCFC,M,185000.04,185000.04,19,8,1576,3,1,5,0,0.9,85.0,0.2,1,6.48
145,189,Tyrone Mears,ATL,D,183756.0,183756.0,16,4,1499,1,1,2,0,0.1,81.3,1.1,1,6.69
146,144,Jimmy Medranda,KC,D,130008.0,130008.0,24,9,2088,2,1,2,0,1.5,81.7,0.3,1,6.8
147,40,Haris Medunjanin,PHI,M,460008.0,505008.0,34,0,3057,2,8,4,0,1.1,82.7,0.5,1,7.07
148,159,Joao Meira,CHI,D,150000.0,165000.0,27,3,2412,0,1,3,0,0.2,90.0,0.9,0,6.74
149,115,Tim Melia,KC,GK,165000.0,167500.0,31,0,2759,0,0,1,0,0.0,69.2,0.1,2,6.86
150,194,Jonathan Mensah,CLB,D,750000.0,844000.0,25,1,2169,2,1,7,2,0.8,86.2,2.4,0,6.68
151,26,Justin Meram,CLB,M,300000.0,328750.0,32,2,2589,13,5,6,0,1.8,75.3,0.6,6,7.17
152,291,Djordje Mihailovic,CHI,M,80000.04,80000.04,7,10,734,1,0,0,0,0.5,85.1,0.2,0,6.43
153,284,Eric Miller,COL,D,75553.75,86553.75,30,0,2617,0,0,5,0,0.1,74.0,0.9,0,6.44
154,137,Roy Miller,POR,D,150000.0,150000.0,26,0,2268,1,1,8,0,0.4,84.3,2.0,2,6.81
155,84,Kevin Molino,MNUFC,M,350004.0,402504.0,30,0,2514,7,9,5,0,1.5,79.0,0.4,5,6.92
156,105,Fredy Montero,VAN,F,1400000.04,1800000.04,26,7,2470,13,6,6,0,2.6,71.9,0.5,4,6.88
157,77,Drew Moor,TOR,D,246750.0,261750.0,24,1,2176,2,1,1,0,0.5,86.5,1.6,1,6.95
158,220,Jordan Morris,SEA,F,225000.0,237500.0,22,1,1803,3,1,0,0,1.5,77.1,1.2,0,6.62
159,28,Justin Morrow,TOR,D,210000.0,226666.67,28,0,2479,8,1,0,0,0.9,84.0,0.5,4,7.14
160,306,Yura Movsisyan,RSL,F,1750000.0,1973750.0,16,12,1419,7,0,4,0,1.6,58.4,0.7,0,6.37
161,69,Luke Mulholland,RSL,M,172500.0,172500.0,22,5,1950,3,2,4,0,1.6,75.7,0.9,0,6.97
162,296,Patrick Mullins,DC,F,114125.0,144125.0,12,8,1076,5,0,1,0,1.9,62.2,1.8,1,6.4
163,63,Michael Murillo,NYRB,D,65004.0,73754.0,15,2,1317,2,0,3,0,1.0,78.7,1.8,2,6.98
164,178,Alex Muyl,NYRB,F,65625.0,69625.0,21,9,1940,3,3,4,0,1.2,77.6,0.9,0,6.71
165,193,Nicolai Naess,CLB,D,235000.0,242500.0,17,1,1476,0,0,1,0,0.4,85.9,0.9,0,6.68
166,39,Darlington Nagbe,POR,M,550000.0,565000.0,27,0,2332,3,3,3,0,1.6,92.2,0.7,0,7.07
167,314,Lamar Neagle,DC,M,200000.0,202833.33,9,13,1117,1,0,4,0,1.2,68.7,1.5,1,6.32
168,10,Lee Nguyen,NE,M,500000.0,500000.0,30,1,2545,11,9,3,0,1.6,78.8,0.1,4,7.31
169,33,Nemanja Nikolic,CHI,F,1700000.04,1906333.37,34,0,2952,24,3,1,0,3.5,74.7,0.3,6,7.13
170,299,Antonio Nocerino,ORL,M,800000.0,850000.0,28,3,2235,1,0,2,1,0.5,85.3,0.1,0,6.39
171,318,Dominic Oduro,MTL,F,330000.0,330000.0,17,8,1440,1,0,1,0,1.0,76.9,0.3,0,6.29
172,282,Lawrence Olum,POR,M,142500.0,157500.0,22,8,2103,1,0,3,0,0.3,88.1,0.8,0,6.45
173,61,Oguchi Onyewu,PHI,D,65004.0,65004.0,22,0,1929,1,0,6,0,0.6,79.7,1.9,0,6.98
174,36,Ike Opara,KC,D,150000.0,150000.0,30,0,2700,3,0,3,0,0.6,86.2,1.8,4,7.1
