,R1,R2,Name1,Name2,Club1,Club2,Pos1,Pos2,BaseSalary1,BaseSalary2,Compensation1,Compensation2,Apps1,Apps2,SubApps1,SubApps2,Mins1,Mins2,Goals1,Goals2,Assists1,Assists2,Yel1,Yel2,Red1,Red2,SpG1,SpG2,PS1,PS2,AerialsWon1,AerialsWon2,MotM1,MotM2,Rating1,Rating2
88,112,158,Cyle Larin,Cyle Larin,ORL,ORL,F,F,135000.0,150000.0,177000.0,192000.0,29,24,3,4,2456,2169,14,12,3,3,0,1,0,0,2.3,2.0,73.4,77.1,1.3,0.7,2,2,6.84,6.75
89,177,43,Kemar Lawrence,Kemar Lawrence,NYRB,NYRB,D,D,100000.0,100000.0,196000.0,205600.0,21,23,0,1,1801,2076,0,1,0,5,3,7,0,0,0.3,0.7,67.4,70.8,1.2,1.8,0,1,6.71,7.06
90,122,182,Kekuta Manneh,Kekuta Manneh,VAN,CLB,M,M,127500.0,138875.0,157000.0,168375.0,13,9,4,10,1140,839,5,4,2,3,1,0,0,0,2.1,1.4,72.1,77.2,0.5,0.2,1,2,6.82,6.7
91,257,123,Mauro Manotas,Mauro Manotas,HOU,HOU,F,F,85000.0,215746.08,85000.0,215746.08,10,24,12,9,1055,2064,6,10,1,5,0,3,0,0,1.9,2.2,79.6,78.6,0.2,0.2,1,0,6.5,6.84
92,60,72,Chad Marshall,Chad Marshall,SEA,SEA,D,D,325000.0,350000.0,341666.67,366250.0,30,27,0,1,2634,2366,4,1,0,2,2,2,0,0,0.7,0.5,84.9,90.1,2.1,2.1,3,1,6.97,6.96
93,246,228,Darren Mattocks,Darren Mattocks,POR,POR,F,F,215000.0,300000.0,231666.67,316666.67,12,11,7,13,941,1075,1,4,2,1,0,1,0,0,1.1,1.3,71.6,72.6,0.8,1.2,1,2,6.55,6.61
94,22,46,Dax McCarty,Dax McCarty,NYRB,CHI,M,M,400000.0,400000.0,500000.0,500000.0,26,28,1,0,2269,2465,3,0,1,4,3,4,0,0,0.9,0.5,81.6,86.2,1.4,1.4,1,0,7.13,7.04
95,101,276,Thomas McNamara,Thomas McNamara,NYCFC,NYCFC,M,M,73500.0,185000.04,85000.0,185000.04,28,19,2,8,2260,1576,5,3,9,1,5,5,0,0,1.3,0.9,81.5,85.0,0.2,0.2,1,1,6.86,6.48
96,221,189,Tyrone Mears,Tyrone Mears,SEA,ATL,D,D,175000.0,183756.0,184000.0,183756.0,32,16,0,4,2836,1499,0,1,1,1,3,2,0,0,0.1,0.1,82.1,81.3,0.9,1.1,0,1,6.62,6.69
97,75,144,Jimmy Medranda,Jimmy Medranda,KC,KC,M,D,63000.0,130008.0,63000.0,130008.0,22,24,6,9,1939,2088,1,2,1,1,7,2,1,0,1.5,1.5,74.0,81.7,0.2,0.3,2,1,6.91,6.8
98,200,159,Joao Meira,Joao Meira,CHI,CHI,D,D,110000.0,150000.0,126500.0,165000.0,26,27,2,3,2284,2412,0,0,0,1,6,3,0,0,0.2,0.2,85.1,90.0,1.5,0.9,0,0,6.67,6.74
