R	Player	Apps	Mins	Goals	Assists	Yel	Red	SpG	PS%	AeiralsWon	MotM	Rating
194	Jonathan MensahColumbus Crew, 27, D(CR)	25(1)	2169	2	1	7	2	0.8	86.2	2.4	-	6.68
195	Frederic BrillantNew York City FC, 32, D(C)	16(7)	1523	1	1	3	-	0.7	82.2	2	-	6.68
196	SunnyReal Salt Lake, 29, DMC	18(3)	1495	-	1	8	-	0.1	86.5	0.5	-	6.68
197	Nick RimandoReal Salt Lake, 38, GK	28	2488	-	-	1	-	-	62.5	0.1	1	6.68
198	Dave RomneyLA Galaxy, 24, D(CL)	23(6)	2250	2	1	-	-	0.7	82.1	1.8	-	6.68
199	Arturo AlvarezChicago Fire, 32, AM(CR)	14(12)	1086	3	2	2	-	1	77.2	0.2	1	6.67
200	Carlos CarmonaAtlanta United, 31, DMC	30(1)	2684	2	1	8	1	0.3	89.2	0.6	-	6.67
201	Sean DavisNew York Red Bulls, 25, M(CR)	21(6)	1796	2	2	5	-	1	83.7	0.4	-	6.67
202	Gershon KoffieNew England Rev., 26, M(C)	21(2)	1920	-	-	3	-	0.7	86.3	0.4	-	6.67
203	Alexander BonoToronto FC, 24, GK	28(1)	2570	-	1	2	-	-	49.8	0.3	1	6.66
204	David OustedVancouver Whitecaps, 33, GK	28	2453	-	-	2	1	-	59	0.3	-	6.66
205	Jelle Van DammeLA Galaxy, 34, D(CL)	18	1503	1	-	5	3	0.9	78.3	1.4	1	6.66
206	Marco UrenaSan Jose Earthquakes, 28, FW	22(3)	1767	5	2	3	-	2	74.9	0.1	1	6.66
207	Oscar Boniek GarciaHouston Dynamo, 33, D(R),M(CLR)	12(8)	1165	-	4	4	-	0.3	82.8	0.4	-	6.66
208	Tyler DericHouston Dynamo, 29, GK	26	2340	-	-	2	-	-	37.2	0.2	2	6.65
209	Ethan WhiteNew York City FC, 27, D(CR)	19(2)	1553	-	2	5	-	0.1	73.5	0.8	-	6.64
210	Luis RoblesNew York Red Bulls, 33, GK	34	3060	-	-	4	-	-	62.7	0.3	-	6.64
211	Cristian HiguitaOrlando City, 24, DMC	18(8)	1555	-	2	9	-	0.5	87.6	0.7	-	6.64
212	Ballou Jean-Yves TablaMontreal Impact, 19, AM(L)	11(10)	1146	2	2	4	-	1.2	78	0.1	-	6.64
213	Sal ZizzoNew York Red Bulls, 31, D(CR),M(LR)	18(5)	1647	-	2	4	1	0.3	75.8	1	-	6.64
214	Bobby ShuttleworthMinnesota United, 30, GK	32(1)	2840	-	-	4	-	-	58.4	0.2	3	6.63
215	Anthony Jackson-HamelMontreal Impact, 24, FW	11(10)	1137	9	3	-	-	1.5	67	1	-	6.63
216	Marco DonadelMontreal Impact, 34, M(C)	18(1)	1425	2	1	3	1	1	82.4	0.3	-	6.62
217	Marlon HairstonColorado Rapids, 24, D(R),M(R)	29(5)	2605	3	4	2	-	0.4	80.7	0.7	1	6.62
218	Brooks LennonReal Salt Lake, 20, M(R)	15(10)	1527	3	2	2	-	0.8	79.3	0.6	1	6.62
219	Tim HowardColorado Rapids, 39, GK	25	2250	-	-	1	-	-	63.3	0.2	3	6.62
220	Jordan MorrisSeattle Sounders FC, 23, AM(LR),FW	22(1)	1803	3	1	-	-	1.5	77.1	1.2	-	6.62
221	Sam CroninMinnesota United, 31, DMC	18	1551	-	1	3	-	0.3	87.5	0.4	-	6.62
222	Luis SilvaReal Salt Lake, 29, AM(C),FW	20(10)	1777	7	3	5	-	1.9	73.9	0.6	1	6.62
223	Steven BeitashourToronto FC, 31, D(R),M(R)	17(5)	1590	-	4	1	-	0.2	81.4	0.3	-	6.61
224	Tony TchaniVancouver Whitecaps, 29, M(C)	26(1)	2122	4	1	4	2	0.8	80.2	0.8	2	6.61
225	Jesse GonzalezFC Dallas, 22, GK	29	2610	-	-	4	-	-	66.5	0.1	-	6.61
226	Scott CaldwellNew England Rev., 27, DMC	26(7)	2196	1	2	2	-	0.3	87.1	0.2	-	6.61
227	Xavier KouassiNew England Rev., 28, DMC	14(9)	1218	1	-	3	2	0.2	86.3	0.8	1	6.61
228	Darren MattocksPortland Timbers, 27, AM(LR),FW	11(13)	1075	4	1	1	-	1.3	72.6	1.2	2	6.61
229	Mekeil WilliamsColorado Rapids, 27, D(LR)	16(1)	1398	-	1	6	1	0.2	71.2	1.4	-	6.6
